target	redis			rocksdb		
	ops/sec	read latency	update latency	ops/sec	read latency	update latency
1000	998	77.57	76.41	986	29.96	75.51
2000	1991	79.84	83.62	1946	27.89	70.53
3000	2985	75	81.27	2873	23.14	59.8
4000	3973	79.15	79.55	3779	22.92	57.68
5000	4956	66.39	65.37	4656	19.73	49.24
6000	5943	69.91	70.11	5518	18.87	51.35
7000	6918	65.1	65.77	6371	18.07	44.89
8000	7880	61.9	60.93	7176	17.33	52.12
9000	8865	60.1	55.67	7964	14.23	42.78
10000	9847	60.06	60.38	8775	18.72	48.55
11000	10764	58.55	56.97	9456	13.82	42.1
12000	11702	55.95	58.4	10230	16.78	45.58
13000	12746	54.1	52.72	10869	14.21	43.26
14000	13642	57.9	52.85	11675	15.32	49.22
15000	14566	53.53	51.79	12180	13.43	39.99
16000	15515	52.43	53.22	12894	14.66	44.22
17000				13614	13.31	41.3
18000				14154	16.47	45.25
