target	redis			rocksdb		
	ops/sec	read latency	update latency	ops/sec	read latency	update latency
1000	997	76.55	87.62	982	37.57	78.79
2000	1992	88.99	88.91	1928	31.92	67.92
3000	2984	79.89	82.66	2855	26.29	57.37
4000	3975	75.93	75.72	3733	25.43	58.38
5000	4961	77.2	78.96	4581	27.87	58.46
6000	5932	73.52	74.07	5417	24.76	56.8
7000	6925	70.74	68.47	6238	23.88	53.25
8000	7889	62.53	62.15	6954	22.3	57.84
9000	8857	59.06	61.38	7724	24.64	54.09
10000	9832	61.12	56.83	8438	22.46	54.98
11000	10804	58.55	56.11	9174	22.24	56.34
12000	11764	56.31	59.48	9708	24.05	55.49
13000	12706	53.04	54.53	10487	21.07	49.41
14000	13679	57.52	53.53	11129	21.73	53.26
15000	14609	49.55	53.05	11757	23.37	49.56
16000	15503	51.91	51.45	12484	18.8	53.6
17000				13054	20.43	48.26
18000				13386	18.11	51.3
